state,species,taxon_general,taxon_specific,Ranking,Notes,acceptedName
colorado,Phoxinus erythrogaster,Fish,NA,E,NA,Chrosomus erythrogaster
colorado,Phenacobius mirabilis,Fish,NA,E,NA,Phenacobius mirabilis
colorado,Canis lupus,Mammals,NA,E,NA,Canis lupus
colorado,Ursus arctos,Mammals,NA,E,NA,Ursus arctos
colorado,Gulo gulo,Mammals,NA,E,NA,Gulo gulo
connecticut,Ambystoma laterale,Amphibians,Salamders,E,NA,Ambystoma laterale
connecticut,Scaphiopus holbrookii,Amphibians,Frogs/Toads,E,NA,Scaphiopus holbrookii
connecticut,Accipiter striatus,Birds,NA,E,NA,Accipiter striatus
connecticut,Ammodramus savannarum,Birds,NA,E,NA,Ammodramus savannarum
connecticut,Asio otus,Birds,NA,E,NA,Asio otus
connecticut,Bartramia longicauda,Birds,NA,E,NA,Bartramia longicauda
connecticut,Botaurus lentiginosus,Birds,NA,E,NA,Botaurus lentiginosus
connecticut,Chordeiles minor,Birds,NA,E,NA,Chordeiles minor
connecticut,Circus cyaneus,Birds,NA,E,NA,Circus cyaneus
connecticut,Cistothorus platensis,Birds,NA,E,NA,Cistothorus platensis
connecticut,Eremophila alpestris,Birds,NA,E,NA,Eremophila alpestris
connecticut,Gallinula chloropus,Birds,NA,E,NA,Gallinula chloropus
connecticut,Icteria virens,Birds,NA,E,NA,Icteria virens
connecticut,Melanerpes erythrocephalus,Birds,NA,E,NA,Melanerpes erythrocephalus
connecticut,Sterna dougallii,Birds,NA,E,NA,Sterna dougallii
connecticut,Tyto alba,Birds,NA,E,NA,Tyto alba
connecticut,Vermivora chrysoptera,Birds,NA,E,NA,Vermivora chrysoptera
connecticut,Acipenser brevirostrum,Fish,NA,E,NA,Acipenser brevirostrum
connecticut,Acipenser oxyrinchus,Fish,NA,E,NA,Acipenser oxyrinchus
connecticut,Lethenteron appendix,Fish,NA,E,NA,Lethenteron appendix
connecticut,Lota lota,Fish,NA,E,NA,Lota lota
connecticut,Osmerus mordax,Fish,NA,E,NA,Osmerus mordax
connecticut,Amblyscirtes vialis,Invertebrates,Insects,E,NA,Mastor vialis
connecticut,Anarta luteola,Invertebrates,Insects,E,NA,Anarta luteola
connecticut,Apodrepanulatrix liberaria,Invertebrates,Insects,E,NA,Apodrepanulatrix liberaria
connecticut,Calephelis borealis,Invertebrates,Insects,E,NA,Calephelis borealis
connecticut,Callophrys hesseli,Invertebrates,Insects,E,NA,Mitoura hesseli
connecticut,Catocala herodias,Invertebrates,Insects,E,NA,Catocala herodias
connecticut,Celastrina neglectamajor,Invertebrates,Insects,E,NA,Celastrina neglectamajor
connecticut,Chytonix sensilis,Invertebrates,Insects,E,NA,Chytonix sensilis
connecticut,Cicindela lepida,Invertebrates,Insects,E,NA,NA
connecticut,Cicindela puritana,Invertebrates,Insects,E,NA,Ellipsoptera puritana
connecticut,Epeoloides pilosula,Invertebrates,Insects,E,NA,Epeoloides pilosula
connecticut,Erynnis lucilius,Invertebrates,Insects,E,NA,Erynnis lucilius
connecticut,Erynnis persius,Invertebrates,Insects,E,NA,Erynnis persius
connecticut,Eubaphe meridiana,Invertebrates,Insects,E,NA,Eubaphe meridiana
connecticut,Euphyes bimacula,Invertebrates,Insects,E,NA,Euphyes bimacula
connecticut,Grammia phyllira,Invertebrates,Insects,E,NA,Grammia phyllira
connecticut,Grammia speciosa,Invertebrates,Insects,E,NA,Grammia speciosa
connecticut,Haematopota rara,Invertebrates,Insects,E,NA,Haematopota rara
