state,species,taxon_general,taxon_specific,status,recorder,Use this link to get federally listed species in each state ->,https://ecos.fws.gov/ecp0/reports/species-listed-by-state-totals-report,,,,,,,,,,,,,,,,,,
Arkansas,Charadrius melodus,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Potamilus capax,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Arkansia wheeleri,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Lampsilis streckeri,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Quadrula cylindrica cylindrica,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Notropis girardi,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Cumberlandia monodonta,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Scaphirhynchus albus,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Sterna antillarum,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Campephilus principalis,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Picoides borealis,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Physaria filiformis,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Trifolium stoloniferum,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Ptilimnium nodosum,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Geocarpon minimum,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Lindera melissifolia,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Haliotis sorenseni,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Phoebastria albatrus,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Dinacoma caseyi,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
California,Elaphrus viridis,Invertebrates,Insects,T,Theresa,,,,,,,,,,,,,,,,,,,,
California,Polyphylla barbata,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
