state,species,taxon_general,taxon_specific,Ranking,Notes,,
Connecticut,Ageratina aromatica,Plants,,E,,,
Connecticut,Angelica lucida,Plants,,E,,,
Connecticut,Arceuthobium pusillum,Plants,,E,,,
Connecticut,Aristida purpurascens,Plants,,E,,,
Connecticut,Aristida tuberculosa,Plants,,E,,,
Connecticut,Asclepias viridiflora,Plants,,E,,,
Connecticut,Bidens eatonii,Plants,,E,,,
Connecticut,Bouteloua curtipendula,Plants,,E,,,
Connecticut,Carex alata,Plants,,E,,,
Connecticut,Carex backii,Plants,,E,,,
Connecticut,Carex barrattii,Plants,,E,,,
Connecticut,Carex buxbaumii,Plants,,E,,,
Connecticut,Carex castanea,Plants,,E,,,
Connecticut,Carex exilis,Plants,,E,,,
Connecticut,Carex magellanica,Plants,,E,,,
Connecticut,Carex polymorpha,Plants,,E,,,
Connecticut,Carex pseudocyperus,Plants,,E,,,
Connecticut,Carex reznicekii,Plants,,E,,,
Connecticut,Carex schweinitzii,Plants,,E,,,
Connecticut,Carex viridula,Plants,,E,,,
Connecticut,Carex willdenowii,Plants,,E,,,
Connecticut,Castilleja coccinea,Plants,,E,,,
Connecticut,Chamaelirium luteum,Plants,,E,,,
Connecticut,Cheilanthes lanosa,Plants,,E,,,
Connecticut,Cirsium horridulum,Plants,,E,,,
Connecticut,Coeloglossum viride,Plants,,E,,,
Connecticut,Crassula aquatica,Plants,,E,,,
Connecticut,Cryptogramma stelleri,Plants,,E,,,
Connecticut,Cypripedium reginae,Plants,,E,,,
Connecticut,Desmodium cuspidatum,Plants,,E,,,
Connecticut,Dichanthelium scabriusculum,Plants,,E,,,
Connecticut,Diplazium pycnocarpon,Plants,,E,,,
Connecticut,Dryopteris campyloptera,Plants,,E,,,
Connecticut,Echinodorus tenellus,Plants,,E,,,
Connecticut,Eleocharis equisetoides,Plants,,E,,,
Connecticut,Eleocharis quadrangulata var. crassior,Plants,,E,,,
Connecticut,Equisetum pratense,Plants,,E,,,
Connecticut,Equisetum scirpoides,Plants,,E,,,
Connecticut,Eriocaulon parkeri,Plants,,E,,,
Connecticut,Eupatorium album,Plants,,E,,,
Connecticut,Eurybia radula,Plants,,E,,,
Connecticut,Floerkea proserpinacoides,Plants,,E,,,
Connecticut,Galium labradoricum,Plants,,E,,,
Connecticut,Gentianella quinquefolia,Plants,,E,,,
Connecticut,Hudsonia ericoides,Plants,,E,,,
Connecticut,Hydrastis canadensis,Plants,,E,,,
Connecticut,Hydrocotyle umbellata,Plants,,E,,,
Connecticut,Hydrocotyle verticillata,Plants,,E,,,
Connecticut,Isotria medeoloides,Plants,,E,,,
Connecticut,Lachnanthes caroliniana,Plants,,E,,,
Connecticut,Leptochloa fusca ssp. fascicularis,Plants,,E,,,
Connecticut,Ligusticum scoticum,Plants,,E,,,
Connecticut,Linnaea borealis ssp. americana,Plants,,E,,,
Connecticut,Linum sulcatum,Plants,,E,,,
Connecticut,Liparis liliifolia,Plants,,E,,,
Connecticut,Ludwigia sphaerocarpa,Plants,,E,,,
Connecticut,Lycopodiella alopecuroides,Plants,,E,,,
Connecticut,Lythrum alatum,Plants,,E,,,
Connecticut,Malaxis brachypoda,Plants,,E,,,
Connecticut,Malaxis unifolia,Plants,,E,,,
Connecticut,Milium effusum,Plants,,E,,,
Connecticut,Minuartia glabra,Plants,,E,,,
Connecticut,Moehringia macrophylla,Plants,,E,,,
Connecticut,Moneses uniflora,Plants,,E,,,
Connecticut,Muhlenbergia capillaris,Plants,,E,,,
Connecticut,Myriophyllum alterniflorum,Plants,,E,,,
Connecticut,Myriophyllum pinnatum,Plants,,E,,,
Connecticut,Oclemena nemoralis,Plants,,E,,,
Connecticut,Oligoneuron album,Plants,,E,,,
Connecticut,Oligoneuron rigidum,Plants,,E,,,
Connecticut,Onosmodium virginianum,Plants,,E,,,
Connecticut,Ophioglossum pusillum,Plants,,E,,,
Connecticut,Ophioglossum vulgatum,Plants,,E,,,
Connecticut,Packera anonyma,Plants,,E,,,
